session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Industry,Nationality,Sex,Student Status
6125c110e25b73c8d745fbd2,610827688c36871a5b12f9ca,APPROVED,2021-08-25 04:03:39.127000,2021-08-25 04:10:39.826000,420.699,21,42,1,100,2021-08-25 15:59:43.415000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,Yes
6125c3f42a50845c44e9113f,61094e90bb5ea378f32617d5,APPROVED,2021-08-25 04:18:51.110000,2021-08-25 04:25:41.191000,410.081,22,63,0,100,2021-08-25 15:59:43.490000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6125c5e07f3871f78441b31a,611580c3f490b096b2fa8cfa,APPROVED,2021-08-25 04:25:31.031000,2021-08-25 04:33:24.675000,473.644,22,82,1,100,2021-08-25 15:59:43.552000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Male,Yes
6125f2cdf3c535a7b4baf54c,60fcce22d78a9a58340d2260,APPROVED,2021-08-25 07:35:41.337000,2021-08-25 07:45:29.891000,588.554,33,49,1,99,2021-08-25 15:59:43.625000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6125f6eab5151424d6e86151,60e48bf26db92a299af63242,APPROVED,2021-08-25 07:59:37.272000,2021-08-25 08:13:20.626000,823.354,31,225,0,100,2021-08-25 15:59:43.709000,9EC36FE2,DATA EXPIRED,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6125fa117f1ed6ebaf8d4dfd,61115f0714b553588d74651f,APPROVED,2021-08-25 08:06:41.061000,2021-08-25 08:19:21.111000,760.05,32,76,0,100,2021-08-25 15:59:43.778000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6125fecfbe6f265a79e2410f,5dd55364dcec8750a2efc32b,APPROVED,2021-08-25 08:26:58.836000,2021-08-25 08:32:31.286000,332.45,38,1012,15,97,2021-08-25 15:59:43.859000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61260b158d4bc27b843591f4,60e69bcb4e1c4ea87a54a36d,APPROVED,2021-08-25 09:19:34.208000,2021-08-25 09:30:53.009000,678.801,28,247,3,98,2021-08-25 15:59:43.930000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,Yes
61260f0862877953c111b455,60ff0bb5f091c10ddd2270b9,APPROVED,2021-08-25 09:36:08.676000,2021-08-25 09:50:39.108000,870.432,24,71,1,99,2021-08-25 15:59:44.008000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61261768da8a6310115e3388,60a877548e684d43854de84d,APPROVED,2021-08-25 10:13:19.521000,2021-08-25 10:23:46.765000,627.244,35,168,1,100,2021-08-25 15:59:44.093000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
